density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.01	0.014	68	-0.000633564	6.11773e-05	0.0709519	0.00407223
0.01	0.014	69	-0.000643034	6.10191e-05	0.0700347	0.00402734
0.01	0.014	70	-0.000640088	6.02185e-05	0.0702004	0.00397514
0.01	0.014	71	-0.000641344	5.93835e-05	0.0700987	0.00391697
0.01	0.014	72	-0.000639117	5.86004e-05	0.070392	0.00387186
0.01	0.014	73	-0.000644489	5.80433e-05	0.0698682	0.00381998
0.01	0.014	74	-0.000638628	5.7554e-05	0.0704951	0.00379826
0.01	0.014	75	-0.000640104	5.68056e-05	0.0703731	0.0037453
0.01	0.014	76	-0.000636193	5.61926e-05	0.0705799	0.00370199
0.01	0.014	77	-0.000641271	5.56917e-05	0.070174	0.00364907
0.01	0.014	78	-0.000645471	5.51359e-05	0.0696467	0.00361131
0.01	0.014	79	-0.000646898	5.44564e-05	0.069536	0.00356333
0.01	0.014	80	-0.000653627	5.41898e-05	0.068771	0.00353884
0.01	0.014	81	-0.000659415	5.3829e-05	0.0682095	0.00349862
0.01	0.014	82	-0.000657718	5.31993e-05	0.0681137	0.00346022
0.01	0.014	83	-0.000661823	5.27165e-05	0.0676806	0.00342088
0.01	0.014	84	-0.000668113	5.24628e-05	0.0669634	0.00339795
0.01	0.014	85	-0.000674386	5.22193e-05	0.0662888	0.00337062
0.01	0.014	86	-0.000673066	5.16288e-05	0.0664371	0.00333486
0.01	0.014	87	-0.00066395	5.18339e-05	0.0673827	0.00335615
0.01	0.014	88	-0.000669729	5.1566e-05	0.0667551	0.00332921
0.01	0.014	89	-0.000665953	5.11247e-05	0.0670555	0.00330041
0.01	0.014	90	-0.000667353	5.05759e-05	0.066831	0.00326526
0.01	0.014	91	-0.000658972	5.07097e-05	0.067614	0.00326932
0.01	0.014	92	-0.00065976	5.01647e-05	0.067527	0.00323292
0.01	0.014	93	-0.000665813	4.99892e-05	0.0669941	0.00319899
0.01	0.014	94	-0.00067047	4.96738e-05	0.0665264	0.00316822
0.01	0.014	95	-0.00067667	4.95364e-05	0.0658897	0.00314557
0.01	0.014	96	-0.000679344	4.90924e-05	0.0655178	0.00311839
0.01	0.014	97	-0.000685912	4.90237e-05	0.0649223	0.00308977
0.01	0.014	98	-0.000683172	4.86e-05	0.0651384	0.00306374
0.01	0.014	99	-0.000685243	4.81532e-05	0.0649277	0.00303178
0.01	0.014	100	-0.000678861	4.80929e-05	0.0658488	0.00307506
0.02	0.012	1	0.00223701	0	0.228248	0
0.02	0.012	2	0.00264797	0.000290592	0.241292	0.0576954
0.02	0.012	3	0.0014487	0.000998176	0.224751	0.129519
0.02	0.012	4	0.00101297	0.000838359	0.204318	0.0976714
0.02	0.012	5	0.000506889	0.000809147	0.181422	0.0777055
0.02	0.012	6	0.000513808	0.000674318	0.177832	0.0650018
0.02	0.012	7	0.000636625	0.000589066	0.181066	0.0585591
0.02	0.012	8	0.000581619	0.000517994	0.173033	0.0512502
0.02	0.012	9	0.000854706	0.000527536	0.191687	0.0585005
0.02	0.012	10	0.000789828	0.000478755	0.184463	0.052654
0.02	0.012	11	0.000653647	0.000454188	0.175953	0.0480016
0.02	0.012	12	0.000627654	0.000417082	0.178246	0.043702
0.02	0.012	13	0.000502484	0.000403344	0.171354	0.0402488
0.02	0.012	14	0.000439908	0.000379357	0.166388	0.0371946
0.02	0.012	15	0.000379474	0.000358848	0.162072	0.0344848
0.02	0.012	16	0.000300994	0.000344895	0.156984	0.0321341
0.02	0.012	17	0.000258467	0.000327218	0.154066	0.0300034
0.02	0.012	18	0.000262438	0.000309064	0.152915	0.0283998
0.02	0.012	19	0.000222288	0.000295393	0.153059	0.0265394
0.02	0.012	20	0.000177324	0.000284025	0.149693	0.0250919
0.02	0.012	21	0.000216802	0.00027323	0.1551	0.0249398
0.02	0.012	22	0.000249024	0.000262704	0.157218	0.0242182
0.02	0.012	23	0.000260549	0.000251534	0.158988	0.0233411
0.02	0.012	24	0.000295411	0.000243458	0.162648	0.0230369
0.02	0.012	25	0.000253724	0.000237262	0.159392	0.0221418
0.02	0.012	26	0.000212375	0.000231711	0.156268	0.0212972
0.02	0.012	27	0.00026714	0.00022951	0.163081	0.0222536
0.02	0.012	28	0.000345569	0.000234331	0.167901	0.0229367
0.02	0.012	29	0.000383595	0.000229315	0.170254	0.0226594
0.02	0.012	30	0.000361978	0.000222688	0.168317	0.0218812
0.02	0.012	31	0.000349959	0.000215829	0.166223	0.0212235
0.02	0.012	32	0.000369903	0.000210003	0.165567	0.0207128
0.02	0.012	33	0.00038332	0.000204068	0.164318	0.0202123
0.02	0.012	34	0.000348753	0.000200972	0.161673	0.0196897
0.02	0.012	35	0.00037503	0.00019694	0.161994	0.0193278
0.02	0.012	36	0.000360573	0.000192	0.160202	0.0188205
0.02	0.012	37	0.000351472	0.000187026	0.15906	0.0183055
