1 0.03 0.022 1.6	0.0624955 0.00275797
1 0.03 0.022 1.7	0.100781 0.00214078
1 0.03 0.022 1.8	0.116738 0.00124926
1 0.03 0.022 1.9	0.115225 0.00135705
1 0.03 0.022 2.0	0.113279 0.00150809
1 0.03 0.022 2.1	0.11195 0.00157378
1 0.03 0.022 2.2	0.118878 0.000956635
1 0.03 0.022 2.3	0.00577024 0.000223091
1 0.03 0.022 2.4	0.118591 0.000995646
1 0.03 0.022 2.5	0.121289 0.000677404
1 0.03 0.022 2.6	0.104764 0.00185255
1 0.03 0.022 2.7	0.0967389 0.00203898
1 0.03 0.022 2.8	0.110417 0.00217881
1 0.03 0.022 2.9	0.103586 0.00287168
1 0.03 0.022 3.0	0.105819 0.00379206
1 0.03 0.024 1.5	0.119366 0.000879404
1 0.03 0.024 1.6	0.118603 0.00103878
1 0.03 0.024 1.7	0.0635817 0.00279224
1 0.03 0.024 1.8	0.123453 5.02239e-05
1 0.03 0.024 1.9	0.110429 0.00168598
1 0.03 0.024 2.0	0.0018573 0.000118778
1 0.03 0.024 2.1	0.100289 0.00210994
1 0.03 0.024 2.2	0.0931897 0.00223968
1 0.03 0.024 2.3	0.0997231 0.00195447
1 0.03 0.024 2.4	0.0602704 0.00211567
1 0.03 0.024 2.5	0.0818558 0.00216794
1 0.03 0.024 2.6	0.0916963 0.00228445
1 0.03 0.024 2.7	0.101358 0.00264945
1 0.03 0.024 2.8	0.0945248 0.00373805
1 0.03 0.024 2.9	0.0970157 0.00520438
1 0.03 0.024 3.0	0.102108 0.00707422
1 0.04 0.018 1.5	-0.00304027 3.10452e-05
1 0.04 0.018 1.6	-0.00294185 6.16921e-05
1 0.04 0.018 1.7	-0.00305131 4.96237e-05
1 0.04 0.018 1.8	-0.0027019 0.000124797
1 0.04 0.018 1.9	0.00377654 0.00117527
1 0.04 0.018 2.0	-0.00131139 0.000590562
1 0.04 0.018 2.1	0.00562415 0.00134324
1 0.04 0.018 2.2	-0.00268858 0.000180344
1 0.04 0.018 2.3	0.0866243 0.00239935
1 0.04 0.018 2.4	0.00402686 0.00113619
1 0.04 0.018 2.5	0.0300992 0.00239684
1 0.04 0.018 2.6	0.0662589 0.00277938
1 0.04 0.018 2.7	0.0783082 0.00264046
1 0.04 0.018 2.8	0.074109 0.00270652
1 0.04 0.018 2.9	0.0488426 0.00275226
1 0.04 0.018 3.0	0.12209 0.000528696
1 0.04 0.02 1.5	-0.00293241 8.10828e-05
1 0.04 0.02 1.6	-0.00269914 0.000139323
1 0.04 0.02 1.7	-0.000769111 0.000567836
1 0.04 0.02 1.8	-0.003126 6.35228e-05
1 0.04 0.02 1.9	-0.00295929 0.000121632
1 0.04 0.02 2.0	0.0365599 0.00252935
1 0.04 0.02 2.1	0.0539342 0.00277117
1 0.04 0.02 2.2	0.119874 0.000602245
1 0.04 0.02 2.3	0.106401 0.00189318
1 0.04 0.02 2.4	0.0628567 0.00278573
1 0.04 0.02 2.5	0.0784159 0.0026844
1 0.04 0.02 2.6	0.0214634 0.00217184
1 0.04 0.02 2.7	0.123614 4.71963e-05
1 0.04 0.02 2.8	0.0648554 0.00276976
1 0.04 0.02 2.9	0.122852 0.000562831
1 0.04 0.02 3.0	0.0908414 0.00244009
1 0.04 0.022 1.5	-0.00220918 0.000361892
1 0.04 0.022 1.6	0.000225663 0.000728866
1 0.04 0.022 1.7	0.0168509 0.0019339
1 0.04 0.022 1.8	0.0562483 0.00271475
1 0.04 0.022 1.9	0.0794874 0.00256967
1 0.04 0.022 2.0	0.113672 0.00144259
1 0.04 0.022 2.1	0.100218 0.00214566
1 0.04 0.022 2.2	0.096472 0.00227853
1 0.04 0.022 2.3	0.118642 0.00107535
1 0.04 0.022 2.4	0.123196 0.00036183
1 0.04 0.022 2.5	0.124001 7.03949e-05
1 0.04 0.022 2.6	0.11172 0.00167816
1 0.04 0.022 2.7	0.112586 0.00164784
